"PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","C3","RP","EM","RI","OI","FU","FP","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","DL","D2","EA","PG","WC","WE","SC","GA","PM","OA","HC","HP","DA","UT"
"J","MORARIU, T; GARBACEA, V",NA,NA,NA,"MORARIU, T; GARBACEA, V",NA,NA,"PROCESSES OF SLOPE DEVELOPMENT IN RUMANIA","PETERMANNS GEOGRAPHISCHE MITTEILUNGEN",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"112","2",NA,NA,NA,NA,"116","119",NA,NA,NA,NA,NA,NA,"Geography",NA,"Geography",NA,NA,NA,NA,NA,NA,NA
"J","MIHAILESCU, V; HERBST, C; BACANARU, I",NA,NA,NA,"MIHAILESCU, V; HERBST, C; BACANARU, I",NA,NA,"GEOGRAPHICAL ASPECT IN THE FUNCTIONAL CLASSIFICATION OF TOWNS","PETERMANNS GEOGRAPHISCHE MITTEILUNGEN",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"112","4",NA,NA,NA,NA,"275","283",NA,NA,NA,NA,NA,NA,"Geography",NA,"Geography",NA,NA,NA,NA,NA,NA,NA
"J","SLAMACAZACU, T",NA,NA,NA,"SLAMACAZACU, T",NA,NA,"COMPARISON OF EFFECTIVENESS OF VERBAL AND NON-VERBAL STIMULI AND SOME CONTEMPORARY ASPECTS OF PSYCHOLOGY OF PERCEPTION","STUDIA PSYCHOLOGICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"10","2",NA,NA,NA,NA,"139","146",NA,NA,NA,NA,NA,NA,"Psychology, Multidisciplinary",NA,"Psychology",NA,NA,NA,NA,NA,NA,NA
"J","DAMASCHIN, VD",NA,NA,NA,"DAMASCHIN, VD",NA,NA,"BLINDNESS COMPENSATION AND ELECTRONIC EYE MODELING","ZEITSCHRIFT FUR PSYCHOLOGIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,"175","1-2",NA,NA,NA,NA,"29","53",NA,NA,NA,NA,NA,NA,"Psychology, Multidisciplinary",NA,"Psychology",NA,NA,NA,NA,NA,NA,NA
"J","LONESCU, N",NA,NA,NA,"LONESCU, N",NA,NA,"ROUMANIA AND UNITED-NATIONS","AUSSEN POLITIK",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"20","10",NA,NA,NA,NA,"616","620",NA,NA,NA,NA,NA,NA,"International Relations; Political Science",NA,"International Relations; Government & Law",NA,NA,NA,NA,NA,NA,NA
"J","SLAMACAZACU, T",NA,NA,NA,"SLAMACAZACU, T",NA,NA,"METHODOLOGY OF COMPARATIVE STUDY OF VERBAL AND NON-VERBAL STIMULI AND SOME PRESENT PROBLEMS OF EXPERIMENTAL PSYCHOLOGY OF PERCEPTION","BULLETIN DE PSYCHOLOGIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"22","9-13",NA,NA,NA,NA,"676","684",NA,NA,NA,NA,NA,NA,"Psychology, Applied; Psychology",NA,"Psychology",NA,NA,NA,NA,NA,NA,NA
"J","ROSCA, A",NA,NA,NA,"ROSCA, A",NA,NA,"TEST AND EXPERIENCE IN PSYCHOLOGY","BULLETIN DE PSYCHOLOGIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"22","9-13",NA,NA,NA,NA,"788","791",NA,NA,NA,NA,NA,NA,"Psychology, Applied; Psychology",NA,"Psychology",NA,NA,NA,NA,NA,NA,NA
"J","NETEA, V",NA,NA,NA,"NETEA, V",NA,NA,"YEAR 1918 IN ROMANIA","EAST EUROPEAN QUARTERLY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"3","1",NA,NA,NA,NA,"71","93",NA,NA,NA,NA,NA,NA,"Area Studies",NA,"Area Studies",NA,NA,NA,NA,NA,NA,NA
"J","KURTZ, P; MARKOVIC, M; VANPRAAG, JP; BELLU, N",NA,NA,NA,"KURTZ, P; MARKOVIC, M; VANPRAAG, JP; BELLU, N",NA,NA,"PARTICIPATION, BUREAUCRACY, AND LIMITS OF TOLERANCE","HUMANIST",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"29","6",NA,NA,NA,NA,"17","20",NA,NA,NA,NA,NA,NA,"Social Sciences, Interdisciplinary",NA,"Social Sciences - Other Topics",NA,NA,NA,NA,NA,NA,NA
"J","AVRAM, A",NA,NA,NA,"AVRAM, A",NA,NA,"MULTILINGUALISM IN PRE-SCHOOL CHILDREN - FRENCH - RUKEDRAVINA,V","LINGUISTICS",NA,NA,NA,"Book Review",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,NA,"55",NA,NA,NA,NA,"109","115",NA,NA,NA,NA,NA,NA,"Linguistics; Language & Linguistics",NA,"Linguistics",NA,NA,NA,NA,NA,NA,NA
"J","BARBA, V",NA,NA,NA,"BARBA, V",NA,NA,"CONCENTRATION OF INDUSTRIAL PRODUCTION IN RUMANIA","MANAGEMENT INTERNATIONAL REVIEW",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"9","1",NA,NA,NA,NA,"45","62",NA,NA,NA,NA,NA,NA,"Management",NA,"Business & Economics",NA,NA,NA,NA,NA,NA,NA
"J","DRAGAN, I",NA,NA,NA,"DRAGAN, I",NA,NA,"LEXICOGRAPHIC ALGORITHM FOR SOLVING LINEAR PROGRAMS WITH BINARY VARIABLES","MANAGEMENT SCIENCE SERIES A-THEORY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"16","3",NA,NA,NA,NA,"246","252",NA,NA,NA,NA,NA,NA,"Management",NA,"Business & Economics",NA,NA,NA,NA,NA,NA,NA
"J","ANDRONIC, A; PICOS, G",NA,NA,NA,"ANDRONIC, A; PICOS, G",NA,NA,"SPECIFIC PROBLEMS OF SOCIAL SECURITY FINANCE IN RUMANIA","PUBLIC FINANCE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"24","2",NA,NA,NA,NA,"280","296",NA,NA,NA,NA,NA,NA,"Business, Finance; Public Administration",NA,"Business & Economics; Public Administration",NA,NA,NA,NA,NA,NA,NA
"J","BLUMENFELD, S; COSMOVICI, N; VLAD, T",NA,NA,NA,"BLUMENFELD, S; COSMOVICI, N; VLAD, T",NA,NA,"EXPERIMENTAL RESEARCH ON ROLE OF PHYSICAL EDUCATION OF MENTALLY RETARDED STUDENTS","REVUE DE NEUROPSYCHIATRIE INFANTILE ET D HYGIENE MENTALE DE L ENFANCE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"17","4-5",NA,NA,NA,NA,"225","230",NA,NA,NA,NA,NA,NA,"Psychology, Developmental; Pediatrics; Psychiatry",NA,"Psychology; Pediatrics; Psychiatry",NA,NA,NA,NA,NA,NA,NA
"J","CERNEA, M",NA,NA,NA,"CERNEA, M",NA,NA,"TRANSFORMATION OF FAMILY STRUCTURE AND AGRICULTURAL CO-OPERATIVES","SOCIOLOGIA RURALIS",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"9","2",NA,NA,NA,NA,"134","145",NA,"10.1111/j.1467-9523.1969.tb00608.x","http://dx.doi.org/10.1111/j.1467-9523.1969.tb00608.x",NA,NA,NA,"Geography; Sociology",NA,"Geography; Sociology",NA,NA,NA,NA,NA,NA,NA
"J","IOSIF, G",NA,NA,NA,"IOSIF, G",NA,NA,"SOME RELEVANT MAIN PROBLEMS OF CONTROL PANELS MONITORING ACTIVITY","STUDIA PSYCHOLOGICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"11","4",NA,NA,NA,NA,"293","299",NA,NA,NA,NA,NA,NA,"Psychology, Multidisciplinary",NA,"Psychology",NA,NA,NA,NA,NA,NA,NA
"J","CARAVIA, P",NA,NA,NA,"CARAVIA, P",NA,NA,"RECENT EXPERIENCE WITH UNIVERSITY LIBRARIES IN ROMANIA","UNESCO BULLETIN FOR LIBRARIES",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,"23","5",NA,NA,NA,NA,"257","261",NA,NA,NA,NA,NA,NA,"Computer Science, Information Systems; Information Science & Library Science",NA,"Computer Science; Information Science & Library Science",NA,NA,NA,NA,NA,NA,NA
"J","FARAGO, J",NA,NA,NA,"FARAGO, J",NA,NA,"CONTRIBUTION TO TABLE MOTIF OF BIRD CONCEALED IN VESSEL","ACTA ETHNOGRAPHICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"19","1-4",NA,NA,NA,NA,"147","159",NA,NA,NA,NA,NA,NA,"Anthropology; Demography; Ethnic Studies",NA,"Anthropology; Demography; Ethnic Studies",NA,NA,NA,NA,NA,NA,NA
"J","POP, M",NA,NA,NA,"POP, M",NA,NA,"FOLKLORE FACT AS ACT OF COMMUNICATION","ACTA ETHNOGRAPHICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"19","1-4",NA,NA,NA,NA,"319","323",NA,NA,NA,NA,NA,NA,"Anthropology; Demography; Ethnic Studies",NA,"Anthropology; Demography; Ethnic Studies",NA,NA,NA,NA,NA,NA,NA
"J","DUMITRESCU, V",NA,NA,NA,"DUMITRESCU, V",NA,NA,"CHRONOLOGICAL RELATION BETWEEN CULTURES OF ENEOLITHIC LOWER DANUBE AND ANATOLIA AND NEAR-EAST","AMERICAN JOURNAL OF ARCHAEOLOGY",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"74","1",NA,NA,NA,NA,"42","50",NA,NA,NA,NA,NA,NA,"Archaeology",NA,"Archaeology",NA,NA,NA,NA,NA,NA,NA
"J","IONASCO, T",NA,NA,NA,"IONASCO, T",NA,NA,"FAULT REQUIREMENT IN CONTRACT LIABILITY OF SOCIALIST ORGANIZATIONS","AMERICAN JOURNAL OF COMPARATIVE LAW",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"18","1",NA,NA,NA,NA,"31","38",NA,"10.2307/839461","http://dx.doi.org/10.2307/839461",NA,NA,NA,"Law",NA,"Government & Law",NA,NA,NA,NA,NA,NA,NA
"J","COHN, H",NA,NA,NA,"COHN, H",NA,NA,"TAIL SIGMA-ALGEBRA OF FINITE INHOMOGENEOUS MARKOV CHAINS","ANNALS OF MATHEMATICAL STATISTICS",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"41","6",NA,NA,NA,NA,"2175","2176",NA,"10.1214/aoms/1177696725","http://dx.doi.org/10.1214/aoms/1177696725",NA,NA,NA,"Mathematics; Statistics & Probability",NA,"Mathematics",NA,NA,NA,NA,NA,NA,NA
"J","SALAGEAN.N",NA,NA,NA,"SALAGEAN.N",NA,NA,"TEST ON AEROBIC MASS CULTURE OF SOME MICROSCOPIC ALGAE SPECIES","BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"83",NA,NA,NA,NA,NA,"549","558",NA,NA,NA,NA,NA,NA,"Plant Sciences",NA,"Plant Sciences",NA,NA,NA,NA,NA,NA,NA
"J","KREINDLER, A",NA,NA,NA,"KREINDLER, A",NA,NA,"STUDIES ON FUNCTIONAL RELATIONSHIPS BETWEEN SOME SUBCORTICAL STRUCTURES AND AMYGDALO-HIPPOCAMPAL COMPLEX IN CAT","BIBLIOTHECA PSYCHIATRICA",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,NA,"143",NA,NA,NA,NA,"109","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J","DORINDAMASCHIN, D",NA,NA,NA,"DORINDAMASCHIN, D",NA,NA,"THEORETICAL AND PRACTICAL CONTRIBUTIONS TO PSYCHOLOGY OF SPECIAL ORIENTATION OF BLIND","BULLETIN DE PSYCHOLOGIE",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"23","6-8",NA,NA,NA,NA,"483","488",NA,NA,NA,NA,NA,NA,"Psychology, Applied; Psychology",NA,"Psychology",NA,NA,NA,NA,NA,NA,NA
"J","DIMITRIU, P",NA,NA,NA,"DIMITRIU, P",NA,NA,"TASKS FOR A EUROPEAN SECURITY COMMISSION","BULLETIN OF PEACE PROPOSALS",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"1","2",NA,NA,NA,NA,"189","191",NA,"10.1177/096701067000100203","http://dx.doi.org/10.1177/096701067000100203",NA,NA,NA,"International Relations",NA,"International Relations",NA,NA,NA,NA,NA,NA,NA
"J","MURESAN, C",NA,NA,NA,"MURESAN, C",NA,NA,"DIPLOMACY OF LANCU OF HUNEDOARA","CANADIAN-AMERICAN SLAVIC STUDIES",NA,NA,NA,"Article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,"4","2",NA,NA,NA,NA,"151","161",NA,NA,NA,NA,NA,NA,"Ethnic Studies; Social Sciences, Interdisciplinary",NA,"Ethnic Studies; Social Sciences - Other Topics",NA,NA,NA,NA,NA,NA,NA
